selector	input_records	official_entrypoint	expected_output	observed_output	status	limitation	evidence_basis
MAIN-1:*	Supplementary Tables 1,2,8		Main Figure 1 panel and underlying quantitative values		METHOD_ONLY	The 132-sample atlas assembly, CytoSPACE reconstruction, exact statistics and plotting workflow are not packaged as an official executable pipeline.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv;source-code-inventory.tsv
MAIN-2:*	Supplementary Tables 8-11		Main Figure 2 panel and underlying quantitative values		METHOD_ONLY	Official tutorials demonstrate Spatial EcoTyper components, but the complete discovery cohort inputs, perturbation jobs, seeds and panel-generation code are not packaged.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv;source-code-inventory.tsv
MAIN-3:*	Supplementary Tables 12-16		Main Figure 3 panel and underlying quantitative values		METHOD_ONLY	The fixed repository lacks the paper-scale pseudo-bulk generation, paired-cohort integration, clinical modelling and plotting workflow needed for this panel.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv;source-code-inventory.tsv
MAIN-4:*	GSE320042;Supplementary Tables 17,18,21		Main Figure 4 panel and underlying Liquid EcoTyper predictions		BLOCKED_CODE	Liquid EcoTyper PyTorch training, local inference code, checkpoints and complete preprocessing are absent from the fixed official repository; tumour sample-level weighting also requires unpublished CytoSPACE weights.	source-code-inventory.tsv;publication-evidence.tsv;supplementary-table-s17-comparison.tsv
MAIN-5:*	Supplementary Tables 19,20,22-28		Main Figure 5 panel and underlying Liquid EcoTyper clinical predictions		BLOCKED_CODE	Liquid EcoTyper code and model weights are not public locally, and the complete clinical methylation inputs and figure-analysis scripts are not packaged.	source-code-inventory.tsv;publication-evidence.tsv;paper-access-ledger.tsv
EXTENDED-1:*	Supplementary Tables 1-7		Extended Data Figure 1 panel and quantitative values		METHOD_ONLY	Paper-specific tumour-stroma annotation, CytoSPACE reconstruction, cross-platform statistics and plotting code are not packaged.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv
EXTENDED-2:*	Supplementary Table 8		Extended Data Figure 2 panel and workflow outputs		METHOD_ONLY	The official repository documents the method but does not package the exact discovery cohort orchestration and panel output.	paper-computation-matrix.tsv;source-code-inventory.tsv
EXTENDED-3:*	Supplementary Table 8		Extended Data Figure 3 benchmarking panel and quantitative values		METHOD_ONLY	Benchmarking inputs, competing-method configurations, seeds and paper plotting code are not supplied as one executable official workflow.	paper-dataset-readiness.tsv;source-code-inventory.tsv
EXTENDED-4:*	Supplementary Tables 8,9		Extended Data Figure 4 robustness panel and quantitative values		METHOD_ONLY	The fixed repository lacks the full perturbation grid, exact seeds, intermediate matrices and panel-generation scripts used for paper robustness testing.	paper-computation-matrix.tsv;source-code-inventory.tsv
EXTENDED-5:*	Supplementary Table 8		Extended Data Figure 5 archetypal-analysis panel and quantitative values		METHOD_ONLY	The paper-specific archetypal-analysis inputs and plotting workflow are described but not packaged in the official code archive.	paper-dataset-readiness.tsv;source-code-inventory.tsv
EXTENDED-6:*	Supplementary Tables 1,8-10		Extended Data Figure 6 panel and quantitative values		METHOD_ONLY	Tutorials cover recovery components, but complete LOOCV, cross-platform colocalization, Xenium discovery and figure orchestration are not packaged.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv
EXTENDED-7:*	Supplementary Tables 2,10,11		Extended Data Figure 7 panel and quantitative values		METHOD_ONLY	The 144-tumour scRNA atlas assembly, marker validation and complete statistical/plotting scripts are not available as an official executable workflow.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv
EXTENDED-8:*	Supplementary Tables 12,13		Extended Data Figure 8 deconvolution panel and quantitative values		METHOD_ONLY	The official repository lacks exact pseudo-tumour generation, held-out cohorts, stochastic seeds, paired-data integration and paper output scripts.	paper-computation-matrix.tsv;source-code-inventory.tsv
EXTENDED-9:*	Supplementary Tables 8,11,14-16		Extended Data Figure 9 panel and quantitative values		METHOD_ONLY	Co-registered sections, clinical covariates and paper-specific association/plotting scripts are not packaged together.	paper-dataset-readiness.tsv;paper-computation-matrix.tsv
EXTENDED-10:*	Supplementary Tables 11,17		Extended Data Figure 10 Liquid EcoTyper panel and quantitative values		BLOCKED_CODE	Liquid EcoTyper simulation, PyTorch training, ablation, checkpoints and local inference code are absent from the fixed official repository.	source-code-inventory.tsv;publication-evidence.tsv
EXTENDED-11:*	GSE320042;Supplementary Tables 17,18,21		Extended Data Figure 11 paired tumour-plasma panel and quantitative values		BLOCKED_CODE	Liquid EcoTyper model code and weights are absent; sample-level tumour values additionally require unpublished CytoSPACE weights and complete paired methylation inputs.	source-code-inventory.tsv;supplementary-table-s17-comparison.tsv;paper-access-ledger.tsv
EXTENDED-12:*	Supplementary Tables 19,20,24,26,28		Extended Data Figure 12 clinical panel and quantitative values		BLOCKED_CODE	Liquid EcoTyper predictions cannot be regenerated without unpublished code and checkpoints; complete clinical inputs and figure scripts are also not packaged.	source-code-inventory.tsv;paper-access-ledger.tsv
SUPPLEMENTARY-1:*	Supplementary Tables 1,2		Supplementary Figure 1 panel and quantitative values		METHOD_ONLY	The complete post-processing and annotation workflow for all public atlas datasets is not packaged in the fixed official repository.	paper-dataset-readiness.tsv;source-code-inventory.tsv
SUPPLEMENTARY-2:*	Supplementary Tables 1-4		Supplementary Figure 2 panel and quantitative values		METHOD_ONLY	The tumour-stroma classifier training objects, pathologist labels and paper panel scripts are not packaged as an executable official workflow.	paper-dataset-readiness.tsv;source-code-inventory.tsv
SUPPLEMENTARY-3:*	Supplementary Table 5		Supplementary Figure 3 panel and quantitative values		METHOD_ONLY	The complete spatial-polarization input atlas and paper statistics/plotting code are not packaged.	paper-dataset-readiness.tsv;source-code-inventory.tsv
SUPPLEMENTARY-4:*	Supplementary Table 8		Supplementary Figure 4 panel and quantitative values		METHOD_ONLY	The exact scalability experiment grid, hardware capture and comparison-output script are not packaged with the official tutorials.	paper-computation-matrix.tsv;source-code-inventory.tsv
SUPPLEMENTARY-5:*	Supplementary Table 8		Supplementary Figure 5 panel and quantitative values		METHOD_ONLY	Benchmark configurations and the complete spatial meta-cell evaluation workflow are not present in the fixed repository.	paper-dataset-readiness.tsv;source-code-inventory.tsv
SUPPLEMENTARY-6:*	Supplementary Table 11		Supplementary Figure 6 panel and quantitative values		METHOD_ONLY	Consensus-marker inputs and exact robustness/plotting scripts for the full paper atlas are not packaged.	paper-dataset-readiness.tsv;source-code-inventory.tsv
SUPPLEMENTARY-7:*	Supplementary Tables 11,17		Supplementary Figure 7 Liquid EcoTyper performance panel and quantitative values		BLOCKED_CODE	Liquid EcoTyper predictions and performance values require unpublished model code and checkpoints.	source-code-inventory.tsv;publication-evidence.tsv
SUPPLEMENTARY-8:*	Supplementary Tables 17-20		Supplementary Figure 8 Liquid EcoTyper panel and quantitative values		BLOCKED_CODE	Liquid EcoTyper CpG-set inference code, learned weights and complete clinical methylation inputs are not packaged.	source-code-inventory.tsv;paper-access-ledger.tsv
SUPPLEMENTARY-9:*	Supplementary Tables 19,20,24		Supplementary Figure 9 clinical panel and quantitative values		BLOCKED_CODE	Time-dependent AUC inputs depend on unpublished Liquid EcoTyper predictions and unavailable paper-specific clinical analysis scripts.	source-code-inventory.tsv;paper-access-ledger.tsv
