component_id	component	status	evidence_path	evidence_basis	limitation
single_sample_discovery	Spatial EcoTyper single-sample discovery	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T01 rendered from the fixed official Rmd with SHA-verified official tutorial inputs	Demonstration melanoma subset only; not the paper-scale discovery cohort or an exact paper figure
multi_sample_integration	Spatial EcoTyper multi-sample integration	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T02 rendered in official sequence using the output generated by official T01	Archived T02 RDS lacks Spot.X/Spot.Y required by the fixed code; official T01 output was used and strict material reproduction failed
recovery_model_training	SE recovery-model training	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T03 rendered from the fixed official Rmd and archived tutorial inputs	Tutorial-scale model only; paper cohort model training inputs and exact stochastic seeds are not supplied as one executable workflow
se_specific_cell_states	SE-specific cell-state LOOCV	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T04 completed the official LoocvPredict workflow with original repeats and core settings	Two-sample demonstration only; not the paper discovery cohort or its repeated cross-validation jobs
scst_recovery	Single-cell spatial transcriptomics SE recovery	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T05 rendered from the fixed official Rmd and archived tutorial inputs	Tutorial validation subset only; does not recreate every cross-platform paper panel
scrna_recovery	scRNA-seq SE recovery	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T06 rendered from the fixed official Rmd and archived tutorial inputs	Tutorial dataset only; the 144-tumour paper atlas and complete preprocessing are not included
bulk_deconv_training	Bulk SE deconvolution-model training	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T07 rendered from the fixed official Rmd and archived tutorial inputs	Tutorial pseudobulk training only; exact paper pseudo-tumour generation and cross-validation orchestration are not supplied
bulk_recovery	Bulk RNA-seq SE recovery	TUTORIAL_REPRODUCED	/mnt/f/spatialecotyper_reproduction/results/tutorials/run-status.tsv	T08 rendered from the fixed official Rmd and archived tutorial inputs	Tutorial application only; not the complete TCGA and ICI analysis
cytospace_preprocessing	Paper-specific CytoSPACE reconstruction and upstream preprocessing	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/source-code-inventory.tsv	The fixed repository documents CytoSPACE-compatible inputs but contains no paper-specific CytoSPACE orchestration script	Rebuilding it would require an independently assembled workflow and is outside the official-material-only scope
pan_cancer_atlas	Assembly of the 132-sample spatial and 144-tumour scRNA atlases	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/gse320042-summary.tsv	GSE320042 is archived and its generated scRNA and Visium files are auditable	The GEO archive covers 24 generated GSM records rather than all public cohorts and does not provide one end-to-end atlas assembly script
regional_expression	Tumour-core versus adjacent-stroma differential-expression analysis	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/publication-evidence.tsv	The publication specifies cohorts and statistical thresholds	No official executable script connects all 120 samples to the reported tables and figure panels
pan_cancer_se_discovery	Nine-SE pan-cancer discovery on the full spatial atlas	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/publication-evidence.tsv	The R package implements the core Spatial EcoTyper method and tutorials demonstrate it	Paper-scale inputs, orchestration, perturbation runs and exact figure-level outputs are not packaged together
cross_platform_validation	Cross-platform SE validation and spatial colocalization	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/publication-evidence.tsv	Official R functions and tutorials cover recovery and colocalization concepts	The full held-out 90-sample validation workflow and all platform-specific preprocessing scripts are absent
paired_bulk_visium	Paired bulk RNA-seq and Visium validation	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/publication-evidence.tsv	The publication describes 42 paired tumours and the deconvolution method	Exact pairing table-to-analysis code and panel-generation script are not in the fixed repository
paper_figure_generation	Complete main and extended-data figure generation	BLOCKED_NOT_PUBLIC	/mnt/f/spatialecotyper_reproduction/results/reproducibility/source-code-inventory.tsv	The fixed repository contains package code and tutorial figures but no paper figure pipeline	Exact paper panels cannot be regenerated without unpublished plotting and cohort-integration scripts
tcga_ici_statistics	TCGA and ICI outcome association statistics	METHOD_ONLY	/mnt/f/spatialecotyper_reproduction/results/reproducibility/publication-evidence.tsv	Methods and many source cohorts or supplementary result tables are public	No official executable analysis script recreates all survival response covariate and multiple-testing results
liquid_ecotyper_training	Liquid EcoTyper PyTorch training	BLOCKED_NOT_PUBLIC	/mnt/f/spatialecotyper_reproduction/results/reproducibility/source-code-inventory.tsv	The paper states PyTorch 2.2.0 but the fixed repository contains zero Python or notebook files	Network implementation training code exact simulation pipeline seeds and model weights are not locally public in the cited repository
cfdna_prediction	Liquid EcoTyper cfDNA prediction and paired-compartment validation	BLOCKED_NOT_PUBLIC	/mnt/f/spatialecotyper_reproduction/results/reproducibility/source-code-inventory.tsv	The paper advertises a trained-model web interface but no auditable local inference implementation is present	A black-box web result is not strict local reproduction; model weights preprocessing code and complete methylation inputs are not packaged here
